"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"WPR25LA106","ACC","199775","2025-02-27T15:50:00Z","Heber City","Utah","United States",,"N345HU","1312","false","Aviation","",,,"None","0","0","0","0",,,,,"40.481805999999999","-111.4288","AVIAT INC","A-1","AIR","HCR",,"false","1",,,"PERS","091","Substantial",,"BACK COUNTRY N345HU LLC","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199775/pdf"
"GAA25WA101","ACC","199805","2025-02-27T14:44:00Z","Santa Ana, Beni",,"Bolivia",,"CP-3124","21061962","false","Aviation","",,,"None","0","0","0","0",,,,,"-14.758333","-65.955832999999998","CESSNA","210","AIR","SLSA",,"false",,,,"PERS","NUSN","Substantial",,,"Enroute","N/A",,"Prelim","","None"
"CEN25FA104","ACC","199774","2025-02-27T14:19:00Z","Uvalde","Texas","United States",,"N144SG","11880","false","Aviation","",,,"Fatal","2","0","0","2","0",,,,"29.241944","-100.14472000000001","ROBINSON HELICOPTER COMPANY","R44","HELI",,,"false","1",,,"AOBV","091","Substantial","VMC","HOLT HELICOPTERS INC","Maneuvering","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199774/pdf"
"CEN25LA105","ACC","199776","2025-02-27T08:45:00Z","Edgemont","South Dakota","United States",,"N6555C","10965","false","Aviation","",,,"Serious","0","1","0","1","0",,,,"43.351199999999999","-103.74767","ROBINSON HELICOPTER COMPANY","R44 II","HELI",,"Nonw","false","1",,,"AOBV","091","None","VMC","KIWI AIR LLC","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199776/pdf"
"DCA25WA150","INC","199783","2025-02-27T00:00:00Z","Hong Kong",,"Hong Kong",,"TC-MCN, VP-BMU",,"false","Aviation","",,,,,,,,,,,,,,"AIRBUS, BOEING","A330-343, B777-200F",,,,"false, false",,,,,,,,,,"N/A",,,"","None"
"GAA25WA103","ACC","199811","2025-02-26T15:27:00Z","Landshut","Other Foreign","Germany",,"D-ECEV",,"false","Aviation","",,,"None","0","0","0","0",,,,,"48.512027000000003","12.034706999999999","CESSNA","150","AIR","EDML",,"false",,,,"PERS","NUSN","Substantial",,,"Unknown","N/A",,"Prelim","","None"
"OPS25LA025","INC","199772","2025-02-26T14:38:00Z","Goodyear","Arizona","United States",,"N955NN, N322RC","31199, 17000969","false","Aviation","",,,,"0","0","0",,"0",,,,"33.439788","-112.35997999999999","BOEING, EMBRAER S A","737-823, ERJ 170-200 LR","AIR, AIR","PHX","PHOENIX SKY HARBOR INTL","false, false","2, 2",,"SCHD, SCHD",,"121, 121","None, None","VMC","WILMINGTON TRUST CO TRUSTEE, AMERICAN AIRLINES INC","Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199772/pdf"
"ERA25LA130","ACC","199769","2025-02-26T09:30:00Z","Manchester","Vermont","United States",,"N43DN","28-7310036","false","Aviation","",,,"Serious","0","2","1","3",,,,,"43.169490000000003","-73.106384000000006","PIPER","PA-28-235","AIR","None",,"false","1",,,"PERS","091","None","IMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199769/pdf"
"GAA25WA102","ACC","199812","2025-02-26T00:20:00Z","San Rafael","Other Foreign","Argentina",,"LV-OOL","84725","false","Aviation","",,,"None","0","0","0","0",,,,,"-34.595278","-68.456666999999996","CESSNA","152","AIR",,,"false","1",,,"PERS","NUSN","Substantial",,,"Enroute","N/A",,"Prelim","","None"
"ERA25LA135","ACC","199802","2025-02-25T18:45:00Z","Smithville","Tennessee","United States",,"N459BA","00070","false","Aviation","",,,"None","0","0","0","0","0",,,,"36.045271999999997","-85.802406000000005","ICON","A5","AIR","0A3","SMITHVILLE MUNI","false","1",,,"PERS","091","Unknown","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199802/pdf"
