EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType
ACC,2022-08-27T22:10:00Z,False,Aviation,5/11/2023 0:00,,0.0,0.0,0.0,0.0,BELL TEXTRON CANADA LTD,505,HELI,PDK,false,1,TS,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-08-27T21:58:00Z,False,Aviation,3/20/2024 0:00,Fatal,1.0,0.0,0.0,1.0,BEECH,B35,AIR,FRH,false,1,REC,PERS,091,Destroyed,VMC,Landing,Completed,Final
ACC,2022-08-27T14:15:00Z,False,Aviation,2/23/2023 0:00,Minor,0.0,0.0,1.0,1.0,SCHLEICHER,K7,GLI,D79,false,0,NONE,INST,091,Substantial,VMC,Enroute,Completed,Final
ACC,2022-08-27T13:37:00Z,False,Aviation,1/30/2024 0:00,Serious,0.0,1.0,0.0,1.0,CESSNA,140,AIR,PVT,false,1,REC,FLTS,091,Substantial,VMC,Initial Climb,Completed,Final
ACC,2022-08-27T10:40:00Z,False,Aviation,11/1/2022 0:00,Serious,0.0,1.0,1.0,2.0,BOEING,A75N1(PT17),AIR,,false,1,REC,PERS,091,Substantial,VMC,Maneuvering,Completed,Final
ACC,2022-08-27T10:17:00Z,False,Aviation,12/8/2022 0:00,,0.0,0.0,0.0,0.0,CESSNA,305C (0-1E),AIR,,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-08-27T08:00:00Z,False,Aviation,12/15/2022 0:00,,0.0,0.0,0.0,0.0,LEON E EVERETT,CARBON CUB EX,AIR,A39,true,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
INC,2022-08-27T04:00:00Z,False,Aviation,,,,,,,ATR,ATR42,AIR,,false,2,,,NUSC,,,Initial Climb,,Prelim
ACC,2022-08-26T20:30:00Z,False,Aviation,11/3/2022 0:00,Minor,0.0,0.0,1.0,1.0,Javron Experimental,PA18 Replica,AIR,I75,true,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-08-26T17:20:00Z,False,Aviation,4/25/2024 0:00,Minor,0.0,0.0,1.0,1.0,RAY E ROBERTS,KITFOX V VIXEN,AIR,EUL,true,1,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final
ACC,2022-08-26T13:53:00Z,False,Aviation,5/2/2024 0:00,Serious,0.0,1.0,1.0,2.0,FLIGHT DESIGN GENERAL AVN GMBH,CTSW SuperSport,AIR,BVU,false,1,REC,PERS,091,Substantial,VMC,Maneuvering,Completed,Final
ACC,2022-08-26T13:27:00Z,False,Aviation,4/10/2024 0:00,Minor,0.0,0.0,1.0,1.0,CESSNA,152,AIR,PRIV,false,1,REC,INST,091,Substantial,VMC,Takeoff,Completed,Final
ACC,2022-08-26T12:30:00Z,False,Aviation,12/8/2022 0:00,,0.0,0.0,0.0,0.0,ROBINSON HELICOPTER,R44 Clipper 1,HELI,,false,1,REC,OWRK,135,Substantial,VMC,Approach,Completed,Final
ACC,2022-08-26T10:04:00Z,False,Aviation,,Fatal,1.0,0.0,0.0,1.0,PITTS,S1S,AIR,,false,,,,NUSN,Destroyed,,Maneuvering,,Prelim
ACC,2022-08-25T17:48:00Z,False,Aviation,11/1/2022 0:00,,0.0,0.0,0.0,0.0,CESSNA,T210N,AIR,GED,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-08-25T14:12:00Z,False,Aviation,5/11/2023 0:00,,0.0,0.0,0.0,0.0,CESSNA,172,AIR,ISM,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
ACC,2022-08-25T11:30:00Z,False,Aviation,11/1/2022 0:00,,0.0,0.0,0.0,0.0,AIR TRACTOR INC,AT-602,AIR,NE82,false,1,TP,AAPL,137,Substantial,VMC,Landing,Completed,Final
ACC,2022-08-24T17:39:00Z,False,Aviation,1/30/2024 0:00,Fatal,2.0,0.0,0.0,2.0,MXR TECHNOLOGIES,MX2,AIR,,true,1,REC,OWRK,091,Substantial,VMC,Maneuvering,Completed,Final
ACC,2022-08-24T15:30:00Z,False,Aviation,9/23/2022 0:00,,0.0,0.0,0.0,0.0,Boeing (Stearman),B75N1,AIR,0C0,false,1,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final
ACC,2022-08-24T15:00:00Z,False,Aviation,11/3/2022 0:00,,0.0,0.0,0.0,0.0,CESSNA,T210L,AIR,KAQR,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
