index,EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType
2724,ACC,2021-03-31T12:13:00Z,False,Aviation,9/22/2021 0:00,Serious,0.0,1.0,0.0,1.0,CESSNA,172,AIR,CGC,false,1,REC,INST,091,Substantial,VMC,Landing,Completed,Final
2725,ACC,2021-03-30T21:10:00Z,False,Aviation,,Fatal,2.0,0.0,0.0,2.0,CESSNA,T206H,AIR,,false,,,,129,Unknown,,Unknown,,Prelim
2726,ACC,2021-03-30T17:10:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,CESSNA,150,AIR,,false,,,,NUSN,Substantial,,Unknown,,Prelim
2727,ACC,2021-03-30T14:32:00Z,False,Aviation,8/20/2021 0:00,,0.0,0.0,0.0,0.0,CESSNA,150L,AIR,,false,1,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final
2728,ACC,2021-03-30T13:45:00Z,False,Aviation,,,,,,,Rotorway Executive,162F,HELI,,false,,,,NUSN,Substantial,,Landing,,Prelim
2729,ACC,2021-03-30T10:57:00Z,False,Aviation,4/26/2023 0:00,Serious,0.0,1.0,0.0,1.0,JABIRU USA SPORT AIRCRAFT,J250-SP,AIR,,false,1,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final
2730,ACC,2021-03-29T18:00:00Z,False,Aviation,6/8/2023 0:00,Fatal,1.0,0.0,0.0,1.0,AVIAT INC,A-1,AIR,,false,1,REC,PERS,091,Substantial,VMC,Maneuvering,Completed,Final
2731,ACC,2021-03-29T15:47:00Z,False,Aviation,1/31/2023 0:00,Minor,0.0,0.0,2.0,2.0,PIPER,PA-28-140,AIR,,false,1,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final
2732,ACC,2021-03-29T12:00:00Z,False,Aviation,9/20/2021 0:00,,0.0,0.0,0.0,0.0,LUSCOMBE,8A,AIR,0S9,false,1,REC,PERS,091,Substantial,VMC,Standing,Completed,Final
2733,ACC,2021-03-28T18:00:00Z,False,Aviation,1/6/2022 0:00,Serious,0.0,1.0,3.0,4.0,EMBRAER,EMB-145LR,AIR,,false,2,TF,,121,,Unknown,Approach,Completed,Final
2734,ACC,2021-03-28T16:00:00Z,False,Aviation,8/26/2022 0:00,Minor,0.0,0.0,1.0,1.0,PIPER,PA-18A,AIR,LHD,false,1,REC,PERS,091,Substantial,VMC,Approach,Completed,Final
2735,ACC,2021-03-28T14:28:00Z,False,Aviation,3/29/2023 0:00,,0.0,0.0,0.0,0.0,CIRRUS DESIGN CORP,SR22,AIR,,false,1,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final
2736,ACC,2021-03-28T14:00:00Z,False,Aviation,9/20/2021 0:00,,0.0,0.0,0.0,0.0,COSTRUZIONI AERONAUTICHE TECNA,P2002 SIERRA,AIR,WVI,false,1,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final
2737,ACC,2021-03-28T12:00:00Z,False,Aviation,1/31/2023 0:00,,0.0,0.0,0.0,0.0,MAULE,MX-7-235,AIR,ONO,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2738,ACC,2021-03-27T19:20:00Z,False,Aviation,,Fatal,7.0,0.0,0.0,7.0,CESSNA,401,AIR,MMHO,false,,,,NUSN,Unknown,,Unknown,,Prelim
2739,ACC,2021-03-27T18:36:00Z,False,Aviation,9/27/2023 0:00,Fatal,5.0,1.0,0.0,6.0,Airbus Helicopters,AS350-B3,HELI,,false,1,TS,OWRK,135,Substantial,VMC,Landing,Completed,Final
2740,ACC,2021-03-27T17:45:00Z,False,Aviation,9/20/2021 0:00,,0.0,0.0,0.0,0.0,AVIAT AIRCRAFT INC,A-1,AIR,OGD,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2741,ACC,2021-03-27T17:25:00Z,False,Aviation,8/20/2021 0:00,Minor,0.0,0.0,1.0,1.0,BELL,OH-58,HELI,,false,1,TS,PERS,091,Substantial,VMC,Landing,Completed,Final
2742,ACC,2021-03-27T16:10:00Z,False,Aviation,9/20/2021 0:00,,0.0,0.0,0.0,0.0,AMERICAN LEGEND AIRCRAFT CO,AL3,AIR,O69,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2743,ACC,2021-03-27T16:00:00Z,False,Aviation,7/20/2022 0:00,,0.0,0.0,0.0,0.0,PIPER,J3C-65,AIR,,false,1,REC,PERS,091,Substantial,VMC,Approach,Completed,Final
2744,ACC,2021-03-27T12:45:00Z,False,Aviation,8/20/2021 0:00,,0.0,0.0,0.0,0.0,CESSNA,182Q,AIR,FGX,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2745,ACC,2021-03-27T12:30:00Z,False,Aviation,9/29/2021 0:00,,0.0,0.0,0.0,0.0,MOONEY,M20J,AIR,KAAT,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2746,ACC,2021-03-27T12:30:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,BEECH,95B55,AIR,EGBW,false,,,,NUSN,Unknown,,Landing,,Prelim
2747,ACC,2021-03-27T11:43:00Z,False,Aviation,8/20/2021 0:00,,0.0,0.0,0.0,0.0,CIRRUS DESIGN CORP,SR20,AIR,5C1,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2748,ACC,2021-03-27T10:05:00Z,False,Aviation,,,,,,,PARTENAVIA,P68,AIR,,false,,,,NUSN,Substantial,,Enroute,,Prelim
2749,INC,2021-03-27T03:15:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,BOEING,737,AIR,,false,,,,129,Minor,,Takeoff,,Prelim
2750,INC,2021-03-26T20:40:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,AIRBUS,A320,AIR,SPJC,false,,,,129,Minor,,Enroute,,Prelim
2751,ACC,2021-03-26T16:30:00Z,False,Aviation,8/20/2021 0:00,Serious,0.0,1.0,0.0,1.0,BELLANCA,1730,AIR,EKY,false,1,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final
