index,EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType,FatalYN,DaysUntilPublished
5787,ACC,2023-05-31T14:00:00Z,False,Aviation,9/28/2023 0:00,?,0.0,0.0,0.0,0.0,ROBINSON HELICOPTER,R44,HELI,PTK,False,0.125,REC,INST,091,Substantial,VMC,Maneuvering,Completed,Final,0,0.05727554179566563
5788,ACC,2023-05-31T10:30:00Z,False,Aviation,8/21/2024 0:00,?,0.0,0.0,0.0,0.0,W10,TAILWIND,AIR,1V6,True,0.125,REC,PERS,091,Substantial,VMC,Takeoff,Completed,Final,0,0.2265221878224974
5789,ACC,2023-05-30T15:05:00Z,False,Aviation,11/16/2023 0:00,Minor,0.0,0.0,1.0,1.0,PIPISTREL DOO AJDOVSCINA,VIRUS SW,AIR,SAF,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.08307533539731682
5790,ACC,2023-05-30T12:15:00Z,False,Aviation,2/20/2025 0:00,?,0.0,0.0,0.0,0.0,CESSNA,210,AIR,TIW,False,0.125,REC,INST,091,Substantial,VMC,Landing,Completed,Final,0,0.32146542827657376
5791,ACC,2023-05-30T12:01:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,MAGNIFLIGHT LLC,M24 ORION PLUS,GYRO,?,True,0.125,?,PERS,091,Substantial,VMC,Initial Climb,In work,Prelim,0,0.35758513931888547
5792,ACC,2023-05-30T11:07:00Z,False,Aviation,7/7/2023 0:00,?,0.0,0.0,0.0,0.0,CESSNA,172,AIR,TMB,False,0.125,REC,INST,091,Substantial,VMC,Landing,Completed,Final,0,0.014963880288957688
5793,ACC,2023-05-30T08:44:00Z,False,Aviation,10/17/2023 0:00,Minor,0.0,0.0,2.0,2.0,PIPER,PA-18-150,AIR,?,False,0.125,REC,PUBF,PUBU,Substantial,VMC,Maneuvering,Completed,Final,0,0.06759545923632611
5794,ACC,2023-05-29T19:15:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,PIPER,PA-34-220T,AIR,?,False,0.25,?,BUS,NUSN,Substantial,?,Enroute,?,Prelim,0,0.35758513931888547
5795,INC,2023-05-29T17:53:00Z,False,Aviation,?,?,?,?,?,?,BOEING,747,AIR,BKK,False,,?,?,NUSC,Minor,?,Landing,?,Prelim,0,0.35810113519091846
5796,ACC,2023-05-29T14:30:00Z,False,Aviation,11/7/2024 0:00,Serious,0.0,1.0,1.0,2.0,BELLANCA,8KCAB,AIR,2VA,False,0.125,REC,PERS,091,Substantial,VMC,Initial Climb,Completed,Final,0,0.2678018575851393
5797,ACC,2023-05-29T13:47:00Z,False,Aviation,11/7/2024 0:00,Minor,0.0,0.0,2.0,2.0,CESSNA,172B,AIR,?,False,0.125,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final,0,0.2678018575851393
5798,ACC,2023-05-29T13:00:00Z,False,Aviation,11/15/2023 0:00,?,0.0,0.0,0.0,0.0,CESSNA,140A,AIR,DNA,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.08307533539731682
